Month,Year,Date,Phase,Construction Milestone,Demand %,Demand Amount,Bank Disbursement,Customer Contribution,Total Loan Disbursed,Opening Loan Balance,Interest Rate,Interest Charged,Principal Repaid,Pre-EMI Interest Payment,EMI,Monthly Payment (Pre-EMI Interest or EMI),Prepayment,Closing Balance,Total Interest Paid,Total Principal Paid,Total Customer Paid,Total Bank Paid,% of Property Value Paid to Godrej
Jun,2027,2027-06-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,504484.38,7.25,3047.93,7623.04,0.0,10670.96,10670.96,100000.0,396861.35,50375.66,945663.0,1342524.35,1342524.35,20.0
Jul,2027,2027-07-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,396861.35,7.25,2397.7,8273.26,0.0,10670.96,10670.96,100000.0,288588.09,52773.36,1053936.26,1342524.35,1342524.35,20.0
Aug,2027,2027-08-01,Full EMI,,0,0.0,0.0,0.0,1342524.35,288588.09,7.25,1743.55,8927.41,0.0,10670.96,10670.96,100000.0,179660.68,54516.91,1162863.67,1342524.35,1342524.35,20.0
Sep,2027,2027-09-01,Full EMI,Excavation Completion,10,1342524.35,1006893.26,335631.09,2349417.61,179660.68,7.25,1085.45,9585.51,0.0,10670.96,10670.96,100000.0,1076968.43,55602.36,1272449.18,1678155.44,2349417.61,30.0
Oct,2027,2027-10-01,Full EMI,,0,0.0,0.0,0.0,2349417.61,1076968.43,7.25,6506.68,2260.94,0.0,8767.62,8767.62,100000.0,974707.49,62109.05,1374710.12,1678155.44,2349417.61,30.0
Nov,2027,2027-11-01,Full EMI,,0,0.0,0.0,0.0,2349417.61,974707.49,7.25,5888.86,2878.77,0.0,8767.62,8767.62,100000.0,871828.72,67997.91,1477588.89,1678155.44,2349417.61,30.0
Dec,2027,2027-12-01,Full EMI,Foundation Completion,5,671262.17,503446.63,167815.54,2852864.24,871828.72,7.25,5267.3,3500.33,0.0,8767.62,8767.62,100000.0,1271775.03,73265.2,1581089.21,1845970.98,2852864.24,35.0
Jan,2028,2028-01-01,Full EMI,,0,0.0,0.0,0.0,2852864.24,1271775.03,7.25,7683.64,2735.93,0.0,10419.57,10419.57,100000.0,1169039.1,80948.85,1683825.14,1845970.98,2852864.24,35.0
Feb,2028,2028-02-01,Full EMI,,0,0.0,0.0,0.0,2852864.24,1169039.1,7.25,7062.94,3356.63,0.0,10419.57,10419.57,100000.0,1065682.47,88011.79,1787181.77,1845970.98,2852864.24,35.0
Mar,2028,2028-03-01,Full EMI,,0,0.0,0.0,0.0,2852864.24,1065682.47,7.25,6438.5,3981.07,0.0,10419.57,10419.57,100000.0,961701.4,94450.29,1891162.84,1845970.98,2852864.24,35.0
Apr,2028,2028-04-01,Full EMI,,0,0.0,0.0,0.0,2852864.24,961701.4,7.25,5810.28,4609.29,0.0,10419.57,10419.57,100000.0,857092.11,100260.57,1995772.13,1845970.98,2852864.24,35.0
May,2028,2028-05-01,Full EMI,,0,0.0,0.0,0.0,2852864.24,857092.11,7.25,5178.26,5241.31,0.0,10419.57,10419.57,100000.0,751850.8,105438.83,2101013.44,1845970.98,2852864.24,35.0
Jun,2028,2028-06-01,Full EMI,,0,0.0,0.0,0.0,2852864.24,751850.8,7.25,4542.43,5877.14,0.0,10419.57,10419.57,100000.0,645973.66,109981.26,2206890.57,1845970.98,2852864.24,35.0
Jul,2028,2028-07-01,Full EMI,B2 Slab,5,671262.17,503446.63,167815.54,3356310.87,645973.66,7.25,3902.76,6516.81,0.0,10419.57,10419.57,100000.0,1042903.48,113884.02,2313407.39,2013786.52,3356310.87,40.0
Aug,2028,2028-08-01,Full EMI,,0,0.0,0.0,0.0,3356310.87,1042903.48,7.25,6300.88,2376.63,0.0,8677.51,8677.51,100000.0,940526.85,120184.9,2415784.02,2013786.52,3356310.87,40.0
Sep,2028,2028-09-01,Full EMI,2nd Floor Slab,5,671262.17,503446.63,167815.54,3859757.5,940526.85,7.25,5682.35,2995.16,0.0,8677.51,8677.51,100000.0,1340978.32,125867.25,2518779.18,2181602.07,3859757.5,45.0
Oct,2028,2028-10-01,Full EMI,,0,0.0,0.0,0.0,3859757.5,1340978.32,7.25,8101.74,3107.14,0.0,11208.89,11208.89,100000.0,1237871.18,133968.99,2621886.32,2181602.07,3859757.5,45.0
Nov,2028,2028-11-01,Full EMI,,0,0.0,0.0,0.0,3859757.5,1237871.18,7.25,7478.81,3730.08,0.0,11208.89,11208.89,100000.0,1134141.1,141447.8,2725616.4,2181602.07,3859757.5,45.0
Dec,2028,2028-12-01,Full EMI,5th Floor Slab,5,671262.17,510339.89,160922.28,4370097.39,1134141.1,7.25,6852.1,4356.79,0.0,11208.89,11208.89,100000.0,1540124.2,148299.9,2829973.19,2342524.35,4370097.39,50.0
Jan,2029,2029-01-01,Full EMI,,0,0.0,0.0,0.0,4370097.39,1540124.2,7.25,9304.92,3659.24,0.0,12964.16,12964.16,100000.0,1436464.96,157604.82,2933632.43,2342524.35,4370097.39,50.0
Feb,2029,2029-02-01,Full EMI,,0,0.0,0.0,0.0,4370097.39,1436464.96,7.25,8678.64,4285.52,0.0,12964.16,12964.16,100000.0,1332179.45,166283.46,3037917.94,2342524.35,4370097.39,50.0
Mar,2029,2029-03-01,Full EMI,10th Floor Slab,5,671262.17,671262.17,0.0,5041359.57,1332179.45,7.25,8048.58,4915.57,0.0,12964.16,12964.16,100000.0,1898526.05,174332.04,3142833.52,2342524.35,5041359.57,55.0
Apr,2029,2029-04-01,Full EMI,,0,0.0,0.0,0.0,5041359.57,1898526.05,7.25,11470.26,4626.21,0.0,16096.47,16096.47,100000.0,1793899.84,185802.3,3247459.73,2342524.35,5041359.57,55.0
May,2029,2029-05-01,Full EMI,,0,0.0,0.0,0.0,5041359.57,1793899.84,7.25,10838.14,5258.33,0.0,16096.47,16096.47,100000.0,1688641.51,196640.45,3352718.05,2342524.35,5041359.57,55.0
Jun,2029,2029-06-01,Full EMI,15th Floor Slab,5,671262.17,671262.17,0.0,5712621.74,1688641.51,7.25,10202.21,5894.26,0.0,16096.47,16096.47,100000.0,2254009.42,206842.66,3458612.32,2342524.35,5712621.74,60.0
Jul,2029,2029-07-01,Full EMI,,0,0.0,0.0,0.0,5712621.74,2254009.42,7.25,13617.97,5634.02,0.0,19251.99,19251.99,100000.0,2148375.41,220460.63,3564246.33,2342524.35,5712621.74,60.0
Aug,2029,2029-08-01,Full EMI,20th Floor Slab,5,671262.17,671262.17,0.0,6383883.91,2148375.41,7.25,12979.77,6272.22,0.0,19251.99,19251.99,100000.0,2713365.36,233440.4,3670518.56,2342524.35,6383883.91,65.0
Sep,2029,2029-09-01,Full EMI,,0,0.0,0.0,0.0,6383883.91,2713365.36,7.25,16393.25,6898.99,0.0,23292.24,23292.24,100000.0,2606466.36,249833.65,3777417.55,2342524.35,6383883.91,65.0
Oct,2029,2029-10-01,Full EMI,25th Floor Slab,5,671262.17,671262.17,0.0,7055146.09,2606466.36,7.25,15747.4,7544.84,0.0,23292.24,23292.24,100000.0,3170183.7,265581.05,3884962.39,2342524.35,7055146.09,70.0
Nov,2029,2029-11-01,Full EMI,,0,0.0,0.0,0.0,7055146.09,3170183.7,7.25,19153.19,8200.02,0.0,27353.21,27353.21,100000.0,3061983.68,284734.24,3993162.41,2342524.35,7055146.09,70.0
Dec,2029,2029-12-01,Full EMI,,0,0.0,0.0,0.0,7055146.09,3061983.68,7.25,18499.48,8853.72,0.0,27353.21,27353.21,100000.0,2953129.96,303233.73,4102016.13,2342524.35,7055146.09,70.0
Jan,2030,2030-01-01,Full EMI,,0,0.0,0.0,0.0,7055146.09,2953129.96,7.25,17841.83,9511.38,0.0,27353.21,27353.21,100000.0,2843618.57,321075.55,4211527.51,2342524.35,7055146.09,70.0
Feb,2030,2030-02-01,Full EMI,,0,0.0,0.0,0.0,7055146.09,2843618.57,7.25,17180.2,10173.01,0.0,27353.21,27353.21,100000.0,2733445.56,338255.75,4321700.53,2342524.35,7055146.09,70.0
Mar,2030,2030-03-01,Full EMI,,0,0.0,0.0,0.0,7055146.09,2733445.56,7.25,16514.57,10838.64,0.0,27353.21,27353.21,100000.0,2622606.92,354770.32,4432539.17,2342524.35,7055146.09,70.0
Apr,2030,2030-04-01,Full EMI,,0,0.0,0.0,0.0,7055146.09,2622606.92,7.25,15844.92,11508.29,0.0,27353.21,27353.21,100000.0,2511098.63,370615.23,4544047.46,2342524.35,7055146.09,70.0
May,2030,2030-05-01,Full EMI,,0,0.0,0.0,0.0,7055146.09,2511098.63,7.25,15171.22,12181.99,0.0,27353.21,27353.21,100000.0,2398916.64,385786.45,4656229.45,2342524.35,7055146.09,70.0
Jun,2030,2030-06-01,Full EMI,Flooring,10,1342524.35,1342524.35,0.0,8397670.44,2398916.64,7.25,14493.45,12859.75,0.0,27353.21,27353.21,100000.0,3628581.23,400279.91,4769089.2,2342524.35,8397670.44,80.0
Jul,2030,2030-07-01,Full EMI,,0,0.0,0.0,0.0,8397670.44,3628581.23,7.25,21922.68,10061.72,0.0,31984.4,31984.4,100000.0,3518519.51,422202.59,4879150.92,2342524.35,8397670.44,80.0
Aug,2030,2030-08-01,Full EMI,,0,0.0,0.0,0.0,8397670.44,3518519.51,7.25,21257.72,10726.68,0.0,31984.4,31984.4,100000.0,3407792.83,443460.31,4989877.6,2342524.35,8397670.44,80.0
Sep,2030,2030-09-01,Full EMI,,0,0.0,0.0,0.0,8397670.44,3407792.83,7.25,20588.75,11395.65,0.0,31984.4,31984.4,100000.0,3296397.18,464049.06,5101273.26,2342524.35,8397670.44,80.0
Oct,2030,2030-10-01,Full EMI,,0,0.0,0.0,0.0,8397670.44,3296397.18,7.25,19915.73,12068.67,0.0,31984.4,31984.4,100000.0,3184328.51,483964.79,5213341.93,2342524.35,8397670.44,80.0
Nov,2030,2030-11-01,Full EMI,,0,0.0,0.0,0.0,8397670.44,3184328.51,7.25,19238.65,12745.75,0.0,31984.4,31984.4,100000.0,3071582.76,503203.44,5326087.68,2342524.35,8397670.44,80.0
Dec,2030,2030-12-01,Full EMI,,0,0.0,0.0,0.0,8397670.44,3071582.76,7.25,18557.48,13426.92,0.0,31984.4,31984.4,100000.0,2958155.84,521760.92,5439514.6,2342524.35,8397670.44,80.0
Jan,2031,2031-01-01,Full EMI,,0,0.0,0.0,0.0,8397670.44,2958155.84,7.25,17872.19,14112.21,0.0,31984.4,31984.4,100000.0,2844043.63,539633.11,5553626.81,2342524.35,8397670.44,80.0
Feb,2031,2031-02-01,Full EMI,,0,0.0,0.0,0.0,8397670.44,2844043.63,7.25,17182.76,14801.64,0.0,31984.4,31984.4,100000.0,2729241.99,556815.88,5668428.45,2342524.35,8397670.44,80.0
Mar,2031,2031-03-01,Full EMI,Occupancy Certificate,10,1342524.35,1342524.35,0.0,9740194.78,2729241.99,7.25,16489.17,15495.23,0.0,31984.4,31984.4,100000.0,3956271.11,573305.05,5783923.68,2342524.35,9740194.78,90.0
Apr,2031,2031-04-01,Full EMI,,0,0.0,0.0,0.0,9740194.78,3956271.11,7.25,23902.47,11885.4,0.0,35787.87,35787.87,100000.0,3844385.71,597207.52,5895809.07,2342524.35,9740194.78,90.0
May,2031,2031-05-01,Full EMI,,0,0.0,0.0,0.0,9740194.78,3844385.71,7.25,23226.5,12561.37,0.0,35787.87,35787.87,100000.0,3731824.34,620434.02,6008370.45,2342524.35,9740194.78,90.0
Jun,2031,2031-06-01,Full EMI,Possession,10,1342524.35,1342524.35,0.0,11082719.13,3731824.34,7.25,22546.44,13241.43,0.0,35787.87,35787.87,100000.0,4961107.26,642980.45,6121611.87,2342524.35,11082719.13,100.0
Jul,2031,2031-07-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4961107.26,7.25,29973.36,15314.75,0.0,45288.11,45288.11,100000.0,4845792.51,672953.81,6236926.62,2342524.35,11082719.13,100.0
Aug,2031,2031-08-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4845792.51,7.25,29276.66,16011.44,0.0,45288.11,45288.11,100000.0,4729781.06,702230.47,6352938.07,2342524.35,11082719.13,100.0
Sep,2031,2031-09-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4729781.06,7.25,28575.76,16712.35,0.0,45288.11,45288.11,100000.0,4613068.72,730806.23,6469650.41,2342524.35,11082719.13,100.0
Oct,2031,2031-10-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4613068.72,7.25,27870.62,17417.48,0.0,45288.11,45288.11,100000.0,4495651.23,758676.86,6587067.9,2342524.35,11082719.13,100.0
Nov,2031,2031-11-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4495651.23,7.25,27161.23,18126.88,0.0,45288.11,45288.11,100000.0,4377524.35,785838.08,6705194.78,2342524.35,11082719.13,100.0
Dec,2031,2031-12-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4377524.35,7.25,26447.54,18840.56,0.0,45288.11,45288.11,100000.0,4258683.79,812285.63,6824035.34,2342524.35,11082719.13,100.0
Jan,2032,2032-01-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4258683.79,7.25,25729.55,19558.56,0.0,45288.11,45288.11,100000.0,4139125.23,838015.17,6943593.9,2342524.35,11082719.13,100.0
Feb,2032,2032-02-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4139125.23,7.25,25007.21,20280.89,0.0,45288.11,45288.11,100000.0,4018844.34,863022.39,7063874.79,2342524.35,11082719.13,100.0
Mar,2032,2032-03-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,4018844.34,7.25,24280.52,21007.59,0.0,45288.11,45288.11,100000.0,3897836.75,887302.91,7184882.38,2342524.35,11082719.13,100.0
Apr,2032,2032-04-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,3897836.75,7.25,23549.43,21738.68,0.0,45288.11,45288.11,100000.0,3776098.07,910852.34,7306621.06,2342524.35,11082719.13,100.0
May,2032,2032-05-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,3776098.07,7.25,22813.93,22474.18,0.0,45288.11,45288.11,100000.0,3653623.89,933666.26,7429095.24,2342524.35,11082719.13,100.0
Jun,2032,2032-06-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,3653623.89,7.25,22073.98,23214.13,0.0,45288.11,45288.11,100000.0,3530409.77,955740.24,7552309.37,2342524.35,11082719.13,100.0
Jul,2032,2032-07-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,3530409.77,7.25,21329.56,23958.55,0.0,45288.11,45288.11,100000.0,3406451.22,977069.8,7676267.91,2342524.35,11082719.13,100.0
Aug,2032,2032-08-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,3406451.22,7.25,20580.64,24707.46,0.0,45288.11,45288.11,100000.0,3281743.75,997650.44,7800975.38,2342524.35,11082719.13,100.0
Sep,2032,2032-09-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,3281743.75,7.25,19827.2,25460.9,0.0,45288.11,45288.11,100000.0,3156282.85,1017477.64,7926436.28,2342524.35,11082719.13,100.0
Oct,2032,2032-10-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,3156282.85,7.25,19069.21,26218.9,0.0,45288.11,45288.11,100000.0,3030063.95,1036546.85,8052655.18,2342524.35,11082719.13,100.0
Nov,2032,2032-11-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,3030063.95,7.25,18306.64,26981.47,0.0,45288.11,45288.11,100000.0,2903082.48,1054853.49,8179636.65,2342524.35,11082719.13,100.0
Dec,2032,2032-12-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,2903082.48,7.25,17539.46,27748.65,0.0,45288.11,45288.11,100000.0,2775333.83,1072392.95,8307385.3,2342524.35,11082719.13,100.0
Jan,2033,2033-01-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,2775333.83,7.25,16767.64,28520.46,0.0,45288.11,45288.11,100000.0,2646813.37,1089160.59,8435905.77,2342524.35,11082719.13,100.0
Feb,2033,2033-02-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,2646813.37,7.25,15991.16,29296.94,0.0,45288.11,45288.11,100000.0,2517516.42,1105151.75,8565202.71,2342524.35,11082719.13,100.0
Mar,2033,2033-03-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,2517516.42,7.25,15210.0,30078.11,0.0,45288.11,45288.11,100000.0,2387438.31,1120361.75,8695280.82,2342524.35,11082719.13,100.0
Apr,2033,2033-04-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,2387438.31,7.25,14424.11,30864.0,0.0,45288.11,45288.11,100000.0,2256574.31,1134785.85,8826144.82,2342524.35,11082719.13,100.0
May,2033,2033-05-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,2256574.31,7.25,13633.47,31654.64,0.0,45288.11,45288.11,100000.0,2124919.68,1148419.32,8957799.46,2342524.35,11082719.13,100.0
Jun,2033,2033-06-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,2124919.68,7.25,12838.06,32450.05,0.0,45288.11,45288.11,100000.0,1992469.62,1161257.38,9090249.51,2342524.35,11082719.13,100.0
Jul,2033,2033-07-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,1992469.62,7.25,12037.84,33250.27,0.0,45288.11,45288.11,100000.0,1859219.36,1173295.22,9223499.78,2342524.35,11082719.13,100.0
Aug,2033,2033-08-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,1859219.36,7.25,11232.78,34055.32,0.0,45288.11,45288.11,100000.0,1725164.03,1184528.0,9357555.1,2342524.35,11082719.13,100.0
Sep,2033,2033-09-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,1725164.03,7.25,10422.87,34865.24,0.0,45288.11,45288.11,100000.0,1590298.79,1194950.87,9492420.34,2342524.35,11082719.13,100.0
Oct,2033,2033-10-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,1590298.79,7.25,9608.06,35680.05,0.0,45288.11,45288.11,100000.0,1454618.74,1204558.92,9628100.39,2342524.35,11082719.13,100.0
Nov,2033,2033-11-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,1454618.74,7.25,8788.32,36499.79,0.0,45288.11,45288.11,100000.0,1318118.96,1213347.24,9764600.18,2342524.35,11082719.13,100.0
Dec,2033,2033-12-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,1318118.96,7.25,7963.64,37324.47,0.0,45288.11,45288.11,100000.0,1180794.48,1221310.88,9901924.65,2342524.35,11082719.13,100.0
Jan,2034,2034-01-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,1180794.48,7.25,7133.97,38154.14,0.0,45288.11,45288.11,100000.0,1042640.34,1228444.85,10040078.79,2342524.35,11082719.13,100.0
Feb,2034,2034-02-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,1042640.34,7.25,6299.29,38988.82,0.0,45288.11,45288.11,100000.0,903651.52,1234744.13,10179067.61,2342524.35,11082719.13,100.0
Mar,2034,2034-03-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,903651.52,7.25,5459.56,39828.55,0.0,45288.11,45288.11,100000.0,763822.98,1240203.69,10318896.15,2342524.35,11082719.13,100.0
Apr,2034,2034-04-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,763822.98,7.25,4614.76,40673.34,0.0,45288.11,45288.11,100000.0,623149.63,1244818.46,10459569.5,2342524.35,11082719.13,100.0
May,2034,2034-05-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,623149.63,7.25,3764.86,41523.24,0.0,45288.11,45288.11,100000.0,481626.39,1248583.32,10601092.74,2342524.35,11082719.13,100.0
Jun,2034,2034-06-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,481626.39,7.25,2909.83,42378.28,0.0,45288.11,45288.11,100000.0,339248.11,1251493.15,10743471.02,2342524.35,11082719.13,100.0
Jul,2034,2034-07-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,339248.11,7.25,2049.62,43238.48,0.0,45288.11,45288.11,100000.0,196009.63,1253542.77,10886709.5,2342524.35,11082719.13,100.0
Aug,2034,2034-08-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,196009.63,7.25,1184.22,44103.88,0.0,45288.11,45288.11,100000.0,51905.75,1254726.99,11030813.39,2342524.35,11082719.13,100.0
Sep,2034,2034-09-01,Full EMI,,0,0.0,0.0,0.0,11082719.13,51905.75,7.25,313.6,44974.51,0.0,45288.11,45288.11,6931.24,0.0,1255040.59,11082719.13,2342524.35,11082719.13,100.0
